Primary_Sponsor,Direct_Sponsors,Project_Wbs_Id,G_C,Profit_Center_Id,Sponsor_Contract_Number,Supervisor,Project_W,Project_Wbs Expiration_D,Fytd_Amount,Auth_Total,Unexpended_Balance
,Total by Primary Sponsor,,,,,,,,47047,353075,306028
004866 Mitsubishi Electric Corporation,004866 Mitsubishi Electric Corporation,6932371,C,P067952,AGMNT DTD 9/1/15,Williams /Brian C,09/01/15,08/31/17,117922,284270,136152
,,6932893,C,P121012,AGMNT DTD 9/1/15,Bertsimas /Dimitris J,01/01/16,12/31/17,169015,508000,327813
,,6934666,C,P063007,AGMT DTD 9/1/16,Simchi-Levi /David,09/01/16,08/31/17,129988,123003,-6985
,,6935601,C,P154500,RESEARCH AGREEMENT,Tenenbaum /Joshua B,10/01/16,12/31/17,35154,230000,194846
,Total by Primary Sponsor,,,,,,,,452078,1145273,651825
"004913 Delta Electronics, Incorporated","004913 Delta Electronics, Incorporate",6934222,C,P060600,AGMT DTD 5/1/2016,Chandrakasan /Anantha P,05/01/16,04/30/19,159192,900000,740808
,,6934407,C,P067952,AGMT DTD. 7/1/2016,Katabi /Dina,07/01/16,07/01/19,81608,900000,818392
,Total by Primary Sponsor,,,,,,,,240800,1800000,1559200
"004937
Microelectronics Advanced Research Corp.",007545 University of Illin,6932978,C,P267300,070798-14502,Wornell /Gregory W,09/29/15,12/31/17,275382,400000,100476
,007617 University of Minnesota,6927452,C,P066000,SUBCONTRACT NO. A003,Ross /Caroline A,01/15/13,10/31/17,80400,1005900,36576
,,6929242,C,P066000,SUBCONTRACT NO. A003,Beach /Geoffrey Stephen,11/01/13,10/31/17,214443,690000,-100114
,007625 University of Ca,6927556,C,P066000,SUBCONTRACT NO. 0142,Ross /Caroline A,01/15/13,12/31/17,128115,950417,61189
,Total by Primary Sponsor,,,,,,,,698341,3046317,98127
004939 Glaxo Smith Kline,004939 Glaxo Smith Kli,6930463,C,P402000,AGREEMENT DATED 8/15,Belcher /Angela M,08/15/14,11/30/16,335270,915691,0
,,6934726,C,P069400,3000031061,Pentland /Alex Paul,09/01/16,08/31/17,280255,349867,69612
,,6935803,C,P039010,PO 3000738523/CO 30000,Larson /Kent,12/01/16,11/30/17,34218,0,-34218
,Total by Primary Sponsor,,,,,,,,649743,1265558,35393
004958 Asahi Kasei Corporation,004958 Asahi Kasei Corporation,6934163,C,P065004,AGMT DTD 6/2/16,Krebs /Hermano I,09/01/16,08/31/17,126161,252593,126432
,,6935087,C,P065004,AGMT DTD 6/2/16,Krebs /Hermano I,09/01/16,08/31/17,8801,25000,16199
,Total by Primary Sponsor,,,,,,,,134962,277593,142631
004989 Petroleum Development Oma,004989 Petroleum Deve,6935433,C,P153000,AGREEMENT EFFECTIVE,Bergmann /Kristin,03/01/15,12/31/18,5407,9360,3953
,Total by Primary Sponsor,,,,,,,,5407,9360,3953
"004999
Multi-Sponsored Consortium",004999 Multi-Sponsored Consortium,6264400,C,P067971,MASTER AGREEMENT,Berners-Lee /Timothy J,10/01/94,06/30/18,427380,39960033,21401469
,,6344000,C,P069501,MASTER AGREEMENT,Sheffi /Yosef,01/01/95,12/31/17,0,935123,934839
,,6344100,C,P069501,CONSORTIUM AGMT,Sheffi /Yosef,01/01/95,12/31/17,11005,1577069,2385
,,6345400,C,P069501,MASTER AGREEMENT,Malone /Thomas W,03/01/98,12/31/04,0,150000,0
,,6345500,C,P069501,MASTER AGREEMENT,Sheffi /Yosef,06/01/98,12/31/00,0,15258,0
,,6345600,C,P069501,MASTER AGREEMENT,Jap /Sandy D,08/01/99,12/31/01,0,2561,0
,,6345700,C,P069501,MASTER AGREEMENT,Rice /James B,01/01/03,12/31/17,0,40000,4227
,,6592900,C,P122030,PRIOR AGREEMENT,Malone /Thomas W,07/01/97,09/30/99,0,2777,0
,,6593000,C,P122030,PRIOR AGREEMENT,Malone /Thomas W,07/01/97,09/30/99,0,318,0
,,6593100,C,P122030,PRIOR AGREEMENT,Malone /Thomas W,07/01/97,09/30/99,0,119,0
,,6643500,C,P320000,MASTER AGREEMENT,Armstrong /Robert C,10/01/97,06/30/16,300364,316613,0
,,6827886,C,P320000,MITEI MEMBERSHIP SEE,Donaldson /David John,06/01/13,05/31/14,0,57237,0
,,6869300,C,P061093,MASTER AGREEMENT,Belobaba /Peter P,07/01/99,06/30/18,418112,4389000,107895
,,6885000,C,P320000,MASTER AGREEMENT,Wong /Victor W,08/31/99,05/31/01,0,31696,0
,,6890000,C,P122170,PECM PROJECT,Brynjolfsson /Erik,04/01/99,12/21/16,0,357277,349949
,,6890001,C,P122170,PECM PROJECT,Brynjolfsson /Erik,04/01/99,12/21/16,0,0,0
,,6890003,C,P122170,PECM PROJECT,Brynjolfsson /Erik,04/01/99,12/21/16,0,577,577
,,6890004,C,P122170,PECM PROJECT,Brynjolfsson /Erik,04/01/99,12/21/16,2539,10712578,0
,,6890005,C,P122170,PECM PROJECT,Brynjolfsson /Erik,04/01/99,12/21/16,0,40439,40439
,,6890008,C,P122170,PECM PROJECT,Brynjolfsson /Erik,04/01/99,12/21/16,0,0,0
,,6890017,C,P122170,PECM PROJECT,Short /James E,04/01/99,12/31/02,0,98939,0
,,6890019,C,P122170,PECM PROJECT,Simchi-Levi /David,07/01/00,09/30/02,0,54755,0
,,6890020,C,P122170,PECM PROJECT,deFigueiredo /John M P,07/01/00,04/30/02,0,60002,0
,,6890021,C,P122170,PECM PROJECT,Wein /Lawrence M,07/01/00,09/30/02,0,44750,0
,,6890022,C,P122170,PECM PROJECT,Dellarocas /Chrysanthos N,07/01/00,06/30/03,0,59950,0
,,6890023,C,P122170,PECM PROJECT,Dahan /Ely,07/01/00,04/30/02,0,49471,0
,,6890024,C,P122170,PECM PROJECT,Bertsimas /Dimitris J,07/01/00,04/30/02,0,75005,0
,,6890025,C,P122170,PECM PROJECT,Cusumano /Michael A,07/01/00,09/30/02,0,55898,0
,,6890652,C,P067914,MASTER AGREEMENT,Shirer /Karen,05/01/00,06/30/17,0,493775,109
,,6890984,C,P067952,MASTER AGREEMENT,Zue /Victor Waito,07/01/00,06/30/17,190288,3479100,571959
,,6891091,C,P068600,MULTI-SPONSOR,Ackerman /Mark S,05/01/00,04/30/02,0,55297,0
,,6891092,C,P067952,MULTI-SPONSOR,Agarwal /Anant,05/01/00,06/30/16,0,875976,147726
,,6891093,C,P067952,MULTI-SPONSOR,Amarasinghe /Saman P,05/01/00,06/30/06,0,375000,0
,,6891094,C,P067952,MULTI-SPONSOR,Asanovic /Krste,05/01/00,06/30/07,0,150000,0
,,6891095,C,P067952,MULTI-SPONSOR,Balakrishnan /Hari,05/01/00,06/30/04,0,100000,0
,,6891096,C,P067952,MULTI-SPONSOR,Clark /David D,05/01/00,06/30/06,0,100000,0
,,6891097,C,P067952,MULTI-SPONSOR,Devadas /Srinivas,05/01/00,06/30/10,0,1016644,0
,,6891098,C,P067952,MULTI-SPONSOR,Dorsey /Julie,05/01/00,06/30/05,0,300000,0
,,6891099,C,P067952,MULTI-SPONSOR,Gifford /David K,05/01/00,06/30/14,0,50000,0
,,6891100,C,P068600,MULTI-SPONSOR,Guttag /John V,05/01/00,04/30/03,0,49999,0
,,6891101,C,P067952,MULTI-SPONSOR,Karger /David R,05/01/00,06/30/06,0,349849,0
,,6891102,C,P067952,MULTI-SPONSOR,Kaashoek /M. Frans,05/01/00,06/30/17,34024,464194,63414
,,6891103,C,P068600,MULTI-SPONSOR,Lynch /Nancy Ann,05/01/00,06/30/02,0,49991,0
,,6891104,C,P067952,MULTI-SPONSOR,Morris /Robert Tappan,05/01/00,06/30/06,0,305000,0
,,6891105,C,P067952,MULTI-SPONSOR,Rinard /Martin C,05/01/00,06/30/16,0,150000,-8249
,,6891106,C,P067952,MULTI-SPONSOR,Rivest /Ronald L,05/01/00,06/30/10,0,344932,0
,,6891107,C,P067952,MULTI-SPONSOR,Szolovits /Peter,05/01/00,06/30/16,0,100000,-322
,,6891108,C,P067952,MULTI-SPONSOR,Ward /Stephen A,05/01/00,06/30/08,0,850000,0
,,6891109,C,P067952,MULTI-SPONSOR,Glass /James R,05/01/00,06/30/07,0,2723966,0
,,6891110,C,P067952,MULTI-SPONSOR,Darrell /Trevor J,05/01/00,06/30/08,0,908561,0
,,6891111,C,P067952,MULTI-SPONSOR,Grimson /William E,05/01/00,06/30/03,0,200000,0
,,6891112,C,P067952,MULTI-SPONSOR,Grimson /William E,05/01/00,06/30/03,0,100000,0
,,6891113,C,P067952,MULTI-SPONSOR,Shrobe /Howard E,05/01/00,06/30/08,0,1571561,0
,,6891114,C,P067952,MULTI-SPONSOR,Katz /Boris,05/01/00,06/30/14,0,484999,0
,,6891115,C,P067952,MULTI-SPONSOR,Davis /Randall,05/01/00,06/30/08,0,1287000,0
,,6891116,C,P067952,MULTI-SPONSOR,Lozano-Perez /Tomas,05/01/00,03/31/04,0,50000,0
,,6891117,C,P067952,MULTI-SPONSOR,Jaakkola /Tommi S,05/01/00,06/30/03,0,50000,0
,,6891118,C,P067952,MULTI-SPONSOR,Brooks /Rodney Allen,05/01/00,06/30/03,0,150000,0
,,6891226,C,P320000,CONSORTIUM FOR ENGI,Cheng /Wai K,08/01/00,09/30/01,0,0,-29960
,,6891354,C,P122170,PECM PROJECT,Welsch /Roy E,07/01/00,12/31/02,0,85056,0
,,6891562,C,P067952,OXYGEN PARTNERSHIP-,Durlach /Nathaniel I,05/01/00,06/30/03,0,50000,0
,,6891667,C,P122170,PECM PROJECT,Tavassoli /Nader,01/01/01,09/30/02,0,49420,0
,,6891668,C,P122170,PECM PROJECT,Hauser /John R,01/01/01,09/30/02,0,74892,0
,,6891669,C,P122170,PECM PROJECT,Grosof /Benjamin N,01/01/01,12/31/02,0,29880,0
,,6891670,C,P122170,PECM PROJECT,Prelec /Drazen,01/01/01,09/30/02,0,50387,0
,,6891671,C,P122170,PECM PROJECT,Burton /M Diane,01/01/01,06/30/03,0,47427,0
,,6891672,C,P122170,PECM PROJECT,Schulz /Andreas S,01/01/01,04/30/02,0,9977,0
,,6891673,C,P122170,PECM PROJECT,Orlin /James B,01/01/01,09/30/02,0,38804,0
,,6891674,C,P122170,PECM PROJECT,Fernandez /Roberto M,01/01/01,09/30/02,0,64766,0
,,6891675,C,P122170,PECM PROJECT,Malone /Thomas W,01/01/01,04/30/02,0,49993,0
,,6891754,C,P069880,CONSORTIUM EXPENSE,Kimerling /Lionel C,01/01/01,11/23/19,0,2845588,2332575
,,6892454,C,P122170,PECM PROJECT,Dahan /Ely,09/01/01,02/28/03,0,29590,0
,,6892455,C,P122170,PECM PROJECT,Madnick /Stuart E,09/01/01,02/28/03,0,69117,0
,,6892456,C,P122170,PECM PROJECT,Grosof /Benjamin N,09/01/01,06/30/03,0,60759,0
,,6892457,C,P122170,VISION-3-INTERNAL EQUI,Meyersson Milgrom /Eva,09/01/01,02/28/03,0,32175,0
,,6892458,C,P122170,PECM PROJECT,Orlikowski /Wanda J,08/01/01,02/28/03,0,40011,0
,,6892459,C,P122170,PECM PROJECT,Rice /James B,09/01/01,02/28/03,0,73240,0
,,6892460,C,P122170,PECM PROJECT,Brynjolfsson /Erik,09/01/01,02/28/03,0,58138,0
,,6892681,C,P067914,MULTI SPONSOR,Shirer /Karen,07/01/01,06/30/16,0,1648937,10862
,,6892682,C,P068600,MULTI SPONSOR,Agarwal /Anant,07/01/01,04/30/03,0,199024,0
,,6892683,C,P067952,MULTI SPONSOR,Balakrishnan /Hari,07/01/01,06/30/06,0,440004,0
,,6892684,C,P067952,MULTI SPONSOR,Demaine /Erik D,07/01/01,06/30/06,0,50000,0
,,6892685,C,P067952,MULTI SPONSOR,Edelman /Alan,07/01/01,03/31/04,0,50000,0
,,6892686,C,P067952,MULTI SPONSOR,Ernst /Michael D,07/01/01,06/30/06,0,50000,0
,,6892687,C,P067952,MULTI SPONSOR,McMillan /Leonard,07/01/01,06/30/08,0,199657,0
,,6892688,C,P067952,MULTI SPONSOR,Rudolph /Larry,07/01/01,06/30/08,0,868402,0
,,6892689,C,P067952,MULTI SPONSOR,Poggio /Tomaso A,07/01/01,03/10/11,0,416087,0
,,6892696,C,P067952,MULTI SPONSOR,Guttag /John V,07/01/01,06/30/17,7617,538000,1403
,,6892697,C,P067952,MULTI SPONSOR,Garland /Stephen J,07/01/01,06/30/06,0,49968,0
,,6892771,C,P069880,CONSORTIUM EXPENSE,Ram /Rajeev J,01/01/01,08/31/04,0,266106,0
,,6892784,C,P069880,CONSORTIUM EXPENSE,Kimerling /Lionel C,01/01/01,12/31/03,0,0,0
,,6892930,C,P067952,MULTI-SPONSORED CON,Agarwal /Anant,07/01/01,06/30/06,0,2494244,0
,,6892931,C,P067952,MULTI-SPONSORED CON,Brooks /Rodney Allen,07/01/01,09/30/03,0,445241,0
,,6893174,C,P267600,CONSORTIUM EXPENSE,Joannopoulos /John,02/01/02,12/31/02,0,75686,0
,,6893487,C,P067952,MASTER AGREEMENT,Agarwal /Anant,06/03/02,06/30/06,0,366203,0
,,6893732,C,P067952,MASTER AGREEMENT,Popovic /Jovan,07/01/02,06/30/06,0,130000,0
,,6893733,C,P067952,MASTER AGREEMENT,Clark /David D,07/01/02,07/31/14,0,200000,0
,,6893734,C,P067952,MASTER AGREEMENT,Kaashoek /M. Frans,07/01/02,06/30/16,0,200000,85569
,,6894107,C,P039020,AGMT. DTD. 7/1/02,Gershenfeld /Neil A,09/01/02,12/19/18,243653,1800817,587690
,,6894200,C,P039020,AGMT. DTD. 7/1/02,Chuang /Isaac,09/01/02,12/31/07,0,0,-192963
,,6894201,C,P039020,AGMT. DTD. 7/1/02,Gershenfeld /Neil A,09/01/02,06/30/07,0,0,-10
,,6894422,C,P067952,O2P: TAIWAN WORKSHO,Rudolph /Larry,07/01/02,06/28/06,0,99978,0
,,6894605,C,P122170,PECM PROJECT,Brynjolfsson /Erik,03/01/03,12/21/16,0,389804,0
,,6894606,C,P122170,PECM PROJECT,Brynjolfsson /Erik,03/01/03,12/21/16,0,447102,0
,,6894607,C,P122170,PECM PROJECT,Brynjolfsson /Erik,03/01/03,12/21/16,0,69673,0
,,6894608,C,P122170,PECM PROJECT,Brynjolfsson /Erik,03/01/03,12/21/16,0,81624,0
,,6894609,C,P122170,PECM PROJECT,Brynjolfsson /Erik,03/01/03,12/31/16,0,8739,0
,,6894610,C,P122170,PECM PROJECT,Brynjolfsson /Erik,03/01/03,12/21/16,532,46159,0
,,6894611,C,P122170,PECM PROJECT,Brynjolfsson /Erik,03/01/03,12/21/16,28,210434,0
,,6894613,C,P122170,PECM PROJECT,Brynjolfsson /Erik,03/01/03,12/21/16,0,258711,0
,,6895109,C,P067952,AGMT. DTD. 6/18/03,Rudolph /Larry,07/01/03,06/28/06,0,199973,0
,,6895182,C,P067952,-,Madden /Samuel R,07/01/03,12/31/05,0,60000,0
,,6895183,C,P067952,MULTI-SPONSOR,Long /William J,07/01/03,06/30/06,0,129988,0
,,6895184,C,P067952,MULTI-SPONSOR,Long /William J,07/01/03,06/30/06,0,100000,0
,,6895185,C,P067952,MULTI-SPONSOR,Leonard /John J,07/01/03,06/30/08,0,188070,0
,,6895186,C,P067952,MULTI-SPONSOR,Barzilay /Regina,07/01/03,06/30/17,0,70000,62967
,,6895187,C,P067952,MULTI-SPONSOR,Durand /Frederic,07/01/03,06/30/07,0,248964,0
,,6895188,C,P067952,MULTI-SPONSOR,Rus /Daniela L,07/01/03,06/30/06,0,25000,0
,,6895263,C,P067952,MULTI SPONSOR,Liskov /Barbara H,07/01/03,06/30/06,0,50000,0
,,6895281,C,P067952,MULTI SPONSOR,Katabi /Dina,07/01/03,06/30/08,0,160000,0
,,6895422,C,P067952,MULTI-SPONSOR,Devadas /Srinivas,09/01/03,06/30/06,0,7355,0
,,6896074,C,P069880,CONSORTIUM EXPENSE,Ross /Caroline A,02/01/04,01/31/05,0,53042,0
,,6896075,C,P069880,CONSORTIUM EXPENSE,Tuller /Harry L,02/01/04,01/31/05,0,54838,0
,,6896148,C,P067952,OXYGEN ALLIANCE/EXPE,Karger /David R,07/01/03,06/30/06,0,338996,0
,,6896347,C,P122170,PECM PROJECT,Cusumano /Michael A,07/01/03,12/31/08,0,49798,0
,,6896394,C,P039015,AGMT DTD 3/30/04,Lippman /Andrew B,02/01/04,10/31/17,0,0,0
,,6896395,C,P039015,AGMT DTD 3/30/04,Lippman /Andrew B,02/01/04,10/31/17,149940,1626273,201836
,,6896396,C,P039015,AGMT DTD 3/30/04,Fine /Charles H,02/01/04,10/31/17,53438,1581307,128214
,,6896397,C,P067952,AGMT DTD 3/30/04,Clark /David D,02/01/04,10/31/17,90566,1589920,107751
,,6896647,C,P067952,MULTI-SPONSORED CON,Steele /Kenneth M,07/01/04,12/31/04,0,4414,0
,,6896728,C,P067952,OXYGEN ALLIANCE/EXPE,Balakrishnan /Hari,07/01/04,06/30/07,0,280000,0
,,6897385,C,P067952,OXYGEN ALLIANCE/EXPE,Brooks /Rodney Allen,01/01/05,06/30/16,0,182788,0
,,6897433,C,P067952,OXYGEN ALLIANCE/EXPE,Sudan /Madhu,01/01/05,06/30/10,0,199945,0
,,6897611,C,P067952,OXYGEN ALLIANCE/EXPE,Brooks /Rodney Allen,01/01/05,06/30/10,0,7244,0
,,6897652,C,P067971,MASTER AGREEMENT,Berners-Lee /Timothy J,04/01/05,12/31/17,0,49672,-125734
,,6897750,C,P065005,MASTER AGREEMENT,Wong /Victor W,05/01/05,04/30/18,493064,5884056,1018539
,,6897842,C,P061093,MASTER AGREEMENT,Belobaba /Peter P,06/01/05,05/31/18,281778,3395000,135390
,,6897893,C,P067952,OXYGEN ALLIANCE/EXPE,Miller /Eric J,06/01/05,06/30/13,0,60892,0
,,6899228,C,P039020,CBA CONSORTIUM EXPE,Gershenfeld /Neil A,01/01/06,12/19/18,175929,0,"372,753"
,,6899291,C,P121110,MASTER CONSORTIUM,Wang /Richard Yng-Yuh,02/16/06,12/31/17,43155,1108517,295167
,,6899523,C,P067952,MULTI-SPONSOR,Leonard /John J,03/01/06,06/30/06,0,6913,0
,,6899560,C,P122170,PECM PROJECT,Brynjolfsson /Erik,04/01/06,12/31/06,0,25000,0
,,6899638,C,P430000,AGMT. DTD. 7/1/06,Hirsch /Paula,07/01/06,06/30/17,0,9642164,9642085
,,6899665,C,P430000,PENDING AGREEMENT,Hirsch /Paula,04/15/06,04/14/08,0,137515,0
,,6899864,C,P122170,PECM PROJECT,Brynjolfsson /Erik,05/01/06,08/31/07,0,41168,0
,,6914379,C,P122170,PECM PROJECT,Brynjolfsson /Erik,06/01/06,12/31/06,0,25000,0
,,6914563,C,P267100,AGMT. DTD. 7/1/02,Sarpeshkar /Rahul,03/14/06,09/30/07,0,0,-67936
,,6914700,C,P061093,MASTER AGREEMENT,Wardle /Brian L,01/01/07,12/31/21,213866,2670512,60129
,,6914754,C,P122170,PECM PROJECT,Brynjolfsson /Erik,12/26/06,06/30/07,0,0,0
,,6914780,C,P069501,ISCM RESEARCH,Sheffi /Yosef,01/15/07,01/15/08,0,5751,0
,,6914783,C,P067952,OXYGEN ALLIANCE/EXPE,Leonard /John J,07/01/06,06/30/09,0,59968,0
,,6914816,C,P320000,MASTER AGREEMENT,Wong /Victor W,05/01/05,12/31/08,0,76669,0
,,6914938,C,P069501,ISCM RESEARCH,Sheffi /Yosef,02/01/07,12/31/12,0,25000,0
,,6915050,C,P069501,ISCM RESEARCH,Malone /Thomas W,03/01/07,02/29/08,0,10408,0
,,6915825,C,P035000,MASTER AGREEMENT,Ratti /Carlo,07/01/07,09/30/19,388056,3783949,775928
,,6916772,C,P122030,MEMBERSHIP AGREEME,Malone /Thomas W,07/01/07,08/31/18,0,0,0
,,6916774,C,P061020,NANO-ENGINEERING CO,Wardle /Brian L,10/22/07,02/29/08,0,9728,0
,,6916788,C,P122030,MEMBERSHIP AGREEME,Malone /Thomas W,07/01/07,08/31/18,68,2051892,0
,,6917194,C,P069500,MASTER AGREEMENT,Caplice /Christopher,02/01/08,06/30/18,0,50000,0
,,6917271,C,P320000,MITEI MEMBERSHIP SEE,Armstrong /Robert C,01/15/08,12/31/17,0,488487,488487
,,6917273,C,P320000,MITEI MEMBERSHIP SEE,Buonassisi /Anthony,01/15/08,07/31/10,0,35000,0
,,6917274,C,P320000,MITEI MEMBERSHIP SEE,Chisholm /Sallie W,01/15/08,01/31/11,0,150000,0
,,6917275,C,P320000,MITEI MEMBERSHIP SEE,Leeb /Steven B,01/15/08,01/14/10,0,70000,0
,,6917276,C,P320000,MITEI MEMBERSHIP SEE,Duflo /Esther,01/15/08,06/30/10,0,150000,0
,,6917277,C,P320000,MITEI MEMBERSHIP SEE,Minervini /Joseph V,01/15/08,01/14/09,0,100000,0
,,6917278,C,P320000,MITEI MEMBERSHIP SEE,Prather /Kristala L,01/15/08,04/30/09,0,150000,0
,,6917279,C,P320000,MITEI MEMBERSHIP SEE,Schindall /Joel E,01/15/08,01/14/10,0,55000,0
,,6917280,C,P320000,MITEI MEMBERSHIP SEE,Thompson /Janelle Renee,01/15/08,01/14/09,0,50000,0
,,6917307,C,P061020,MASTER AGREEMENT,Wardle /Brian L,03/01/08,06/30/08,0,4373,0
,,6917352,C,P061020,MASTER AGREEMENT,Wardle /Brian L,03/01/08,08/31/08,0,5389,0
,,6917843,C,P320000,MITEI MEMBERSHIP SEE,Ceder /Gerbrand,01/15/08,07/31/10,0,39990,0
,,6918677,C,P320000,MITEI MEMBERSHIP SEE,Abelson /Harold,09/01/08,10/31/10,0,89999,0
,,6918678,C,P320000,MITEI MEMBERSHIP SEE,Buehler /Markus J,09/01/08,08/31/10,0,100000,0
,,6918679,C,P320000,MITEI MEMBERSHIP SEE,Ceder /Gerbrand,09/01/08,02/28/13,0,149880,0
,,6918680,C,P320000,MITEI MEMBERSHIP SEE,Chandrakasan /Anantha P,09/01/08,08/31/09,0,60000,0
,,6918681,C,P320000,MITEI MEMBERSHIP SEE,Edelman /Alan,09/01/08,08/31/09,0,49936,0
,,6918682,C,P320000,MITEI MEMBERSHIP SEE,Fernandez /John,09/01/08,08/31/10,0,85516,0
,,6918683,C,P320000,MITEI MEMBERSHIP SEE,Fitzgerald /Eugene A,09/01/08,11/30/09,0,54399,0
,,6918684,C,P320000,MITEI MEMBERSHIP SEE,Hemond /Harold F,09/01/08,08/31/10,0,37447,0
,,6918685,C,P320000,MITEI MEMBERSHIP SEE,Kassakian /John G,09/01/08,08/31/09,0,89994,0
,,6918686,C,P320000,MITEI MEMBERSHIP SEE,Layzer /Judith,09/01/08,12/31/10,0,100000,0
,,6918687,C,P320000,MITEI MEMBERSHIP SEE,Livermore-Clifford /Carol,09/01/08,05/31/10,0,149973,0
,,6918688,C,P320000,MITEI MEMBERSHIP SEE,Olken /Benjamin,09/01/08,08/31/09,0,9858,0
,,6918689,C,P320000,MITEI MEMBERSHIP SEE,Ram /Rajeev J,09/01/08,09/15/10,0,120000,0
,,6918690,C,P320000,MITEI MEMBERSHIP SEE,Sadoway /Donald Robert,09/01/08,12/31/10,0,55007,0
,,6918691,C,P320000,MITEI MEMBERSHIP SEE,Slocum /Alexander H,09/01/08,05/31/12,0,50000,0
,,6918692,C,P320000,MITEI MEMBERSHIP SEE,Stephanopoulos /Gregory,09/01/08,10/31/10,0,100000,0
,,6918693,C,P320000,MITEI MEMBERSHIP SEE,Woskov /Paul P,09/01/08,08/31/09,0,119979,0
,,6918799,C,P067952,OXYGEN ALLIANCE/EXPE,Zeldovich /Nickolai,07/01/08,06/30/16,0,57000,-403
,,6919043,C,P320000,MITEI MEMBERSHIP SEE,Hemond /Harold F,12/17/08,08/31/10,0,37553,0
,,6919524,C,P320000,MITEI MEMBERSHIP SEE,Alexander-Katz /Alfredo,04/01/09,03/31/11,0,147999,0
,,6919525,C,P320000,MITEI MEMBERSHIP SEE,Andersen /Marilyne,09/01/09,08/31/11,0,99424,0
,,6919526,C,P320000,MITEI MEMBERSHIP SEE,Baldo /Marc A,04/01/09,12/31/10,0,89997,0
,,6919527,C,P320000,MITEI MEMBERSHIP SEE,Buongiorno /Jacopo,04/01/09,03/31/11,0,59944,0
,,6919528,C,P320000,MITEI MEMBERSHIP SEE,Ceyer /Sylvia Teresse,04/01/09,08/31/10,0,99973,0
,,6919529,C,P320000,MITEI MEMBERSHIP SEE,Green /William H,06/01/09,05/31/11,0,51999,0
,,6919530,C,P320000,MITEI MEMBERSHIP SEE,Kim /Sangbae,06/01/09,05/31/10,0,120000,0
,,6919532,C,P320000,MITEI MEMBERSHIP SEE,Ratti /Carlo,04/01/09,03/31/11,0,99745,0
,,6919533,C,P320000,MITEI MEMBERSHIP SEE,Ross /Caroline A,04/01/09,08/31/10,0,120001,0
,,6919534,C,P320000,MITEI MEMBERSHIP SEE,Cao /Jianshu,04/01/09,03/31/12,0,69951,0
,,6919535,C,P320000,MITEI MEMBERSHIP SEE,Varanasi /Kripa,04/01/09,06/30/11,0,120000,0
,,6920821,C,P320000,MITEI MEMBERSHIP SEE,Bazant /Martin Z,10/01/09,09/30/11,0,100000,0
,,6920822,C,P320000,MITEI MEMBERSHIP SEE,Berggren /Karl K,10/01/09,02/28/13,0,150000,0
,,6920823,C,P320000,MITEI MEMBERSHIP SEE,Grossman /Jeffrey C.,10/01/09,09/30/11,0,100000,0
,,6920824,C,P320000,MITEI MEMBERSHIP SEE,Hatton /Trevor Alan,10/01/09,07/12/11,0,150000,0
,,6920825,C,P320000,MITEI MEMBERSHIP SEE,Kaiser /Chris,10/01/09,09/30/11,0,149998,0
,,6920826,C,P320000,MITEI MEMBERSHIP SEE,Soljacic /Marin,10/01/09,09/30/11,0,49674,0
,,6920827,C,P320000,MITEI MEMBERSHIP SEE,Thomas /Edwin L,10/01/09,09/30/11,0,99957,0
,,6920828,C,P320000,MITEI MEMBERSHIP SEE,Tuller /Harry L,10/01/09,09/30/11,0,149980,0
,,6920829,C,P320000,MITEI MEMBERSHIP SEE,Varanasi /Kripa,10/01/09,09/30/11,0,150000,0
,,6920847,C,P320000,MITEI MEMBERSHIP SEE,Polz /Martin F,10/01/09,09/30/11,0,125000,0
,,6920848,C,P320000,MITEI MEMBERSHIP SEE,Thompson /Carl Vernette,10/01/09,12/31/10,0,64041,0
,,6921149,C,P320000,MITEI MEMBERSHIP SEE,Thompson /Carl Vernette,03/01/10,07/31/10,0,10115,0
,,6921212,C,P320000,MITEI MEMBERSHIP SEE,Fink /Yoel,10/01/09,09/30/11,0,50002,0
,,6921277,C,P069850,MASTER AGREEMENT,Kirchain /Randolph E,12/17/09,02/28/18,32200,491221,29719
,,6921868,C,P065005,MASTER AGREEMENT,Wong /Victor W,04/30/10,09/30/17,6433,132275,4738
,,6921957,C,P320000,MITEI MEMBERSHIP SEE,Bazant /Martin Z,05/17/10,05/16/12,0,150000,0
,,6921958,C,P320000,MITEI MEMBERSHIP SEE,Demaine /Erik D,05/17/10,05/16/12,0,149923,0
,,6921959,C,P320000,MITEI MEMBERSHIP SEE,Hadjiconstantinou /Nicolas,09/01/10,09/30/12,0,149372,0
,,6921960,C,P320000,MITEI MEMBERSHIP SEE,Jensen /Klavs F,05/17/10,08/31/13,0,149920,0
,,6921961,C,P320000,MITEI MEMBERSHIP SEE,Joannopoulos /John,05/17/10,05/16/12,0,143917,0
,,6921962,C,P320000,MITEI MEMBERSHIP SEE,Kimerling /Lionel C,08/01/10,09/30/11,0,100000,0
,,6921963,C,P320000,MITEI MEMBERSHIP SEE,Malcolm /Alison E,05/17/10,05/31/11,0,147912,0
,,6921964,C,P320000,MITEI MEMBERSHIP SEE,Olsen /Bradley D.,05/17/10,05/16/12,0,150000,0
,,6921965,C,P320000,MITEI MEMBERSHIP SEE,Rudin /Cynthia,08/01/10,07/31/13,0,150000,0
